Finding_ID,Category,Severity,Confidence,Repository,Relative_Path,Absolute_Path,Start_Line,End_Line,Symbol,Summary,Evidence_Type,Runtime_Impact,User_Impact,Caller,Callee,Related_Findings,Tests,Recommended_Direction,Status
"JACK-CX2-001","Safety / Process lifecycle","P1 HIGH","CONFIRMED","Jack-Local-AI-Service","scripts/convert-pptx-to-pdf.ps1","C:\Users\shani\Local-Jack-Program\Jack-Local-AI-Service\scripts\convert-pptx-to-pdf.ps1","34","50","PowerPoint PID marker","Timeout cleanup guesses the newest system-wide POWERPNT PID and can terminate an unrelated interactive PowerPoint process.","STATIC_CONFIRMED","A conversion timeout can kill a user's open PowerPoint instance.","Unsaved presentation work can be lost.","POST /jack/convert-pptx; pptxConvertRouter","Get-Process POWERPNT; process.kill","See Markdown index","No PID-ownership or timeout integration test.","Never kill a guessed PID; establish verifiable child identity/start-time/session ownership or prefer an orphan over uncertain termination.","OPEN"
"JACK-CX2-002","Audio / Async lifecycle","P1 HIGH","CONFIRMED","Jack-AI-Presenter-Platform","app/jack/JackProvider.tsx","C:\Users\shani\Local-Jack-Program\Jack-AI-Presenter-Platform\app\jack\JackProvider.tsx","1103","1124","cancelAutonomousPresenting during finishBargeInCapture","Valid ambient commands reset barge-in processing to idle while the command is still executing, reopening overlapping capture.","STATIC_CONFIRMED","Two capture/transcribe/intent cycles can interleave and later commands can cancel speech or actions from the first.","Commands may execute incorrectly or Jack speech may be cut off.","finishBargeInCapture -> runLocalCommand","cancelAutonomousPresenting; localRecorder.stop; arm effect","See Markdown index","No mounted-provider phase-transition regression test.","Separate narration cancellation from capture cancellation, or preserve processing until the outer command completes; add a race regression test.","OPEN"
"JACK-CX2-003","Audio / State truthfulness","P2 MEDIUM","CONFIRMED","Jack-AI-Presenter-Platform","app/jack/JackProvider.tsx","C:\Users\shani\Local-Jack-Program\Jack-AI-Presenter-Platform\app\jack\JackProvider.tsx","1598","1625","ambient arm effect","Ambient arming ignores whether recorder startup succeeded and advances to armed on timers alone.","STATIC_CONFIRMED","Denied or missing microphone can leave the orchestration phase armed without a functioning recorder.","Practice and Ask can indicate listening without showing localMicError; commands never arrive.","PresentSetup/stage mic toggles","useLocalRecorder.start; barge phase timers","See Markdown index","No permission-denied/missing-device component integration test.","Return/observe startup success, cancel arm timers on failure, and surface the same recorder error in every mic-enabled mode.","OPEN"
"JACK-CX2-004","Performance / Resource exhaustion","P2 MEDIUM","CONFIRMED","Jack-Local-AI-Service","src/routes/pptxConvert.ts","C:\Users\shani\Local-Jack-Program\Jack-Local-AI-Service\src\routes\pptxConvert.ts","76","88","MAX_CONCURRENT_REQUESTS gate","PPTX concurrency is gated only after Express has fully buffered each upload.","STATIC_CONFIRMED","Many concurrent uploads can allocate roughly 100 MB each before receiving 429.","Gateway memory exhaustion or process termination.","Express raw parser","pptxConvertRouter","See Markdown index","No pre-parser admission or concurrency memory test.","Enforce admission before body buffering through a streaming/proxy/server-level limiter and abort excess uploads early.","OPEN"
"JACK-CX2-005","Performance / Provider concurrency","P2 MEDIUM","HIGH","Jack-Local-AI-Service","src/routes/transcription.ts","C:\Users\shani\Local-Jack-Program\Jack-Local-AI-Service\src\routes\transcription.ts","82","107","ASR request execution","ASR admission is unbounded: Whisper spawns a CLI per request and VibeVoice accepts an unbounded serialized queue.","STATIC_CONFIRMED","Bursts can exhaust CPU/RAM or create an arbitrarily long stale backlog.","Long hangs, 502s, or gateway instability.","POST /jack/transcribe","WhisperProvider.transcribe; VibeWarmServer.transcribe","See Markdown index","No provider admission/backpressure tests.","Add bounded per-provider queues/semaphores, fast 429/503 rejection, and request-disconnect cancellation.","OPEN"
"JACK-CX2-006","Async / Shutdown","P2 MEDIUM","CONFIRMED","Jack-Local-AI-Service","src/providers/vibe/VibeWarmServer.ts","C:\Users\shani\Local-Jack-Program\Jack-Local-AI-Service\src\providers\vibe\VibeWarmServer.ts","157","181","sendOne retry during stop","Queued VibeVoice work can respawn the warm child after gateway shutdown begins.","STATIC_CONFIRMED","Gateway shutdown can wait on or orphan a newly spawned ~1.58 GB model process.","Slow shutdown and lingering resource consumption.","gateway shutdown; queued transcribe","stop; sendOne; ensureStarted","See Markdown index","No queue-plus-shutdown lifecycle test.","Add idempotent closing state; reject current/queued work and prohibit respawn after stop.","OPEN"
"JACK-CX2-007","API / Input validation","P2 MEDIUM","CONFIRMED","Jack-Local-AI-Service","src/routes/chat.ts","C:\Users\shani\Local-Jack-Program\Jack-Local-AI-Service\src\routes\chat.ts","16","58","POST /jack/chat validation","Chat validates message content but not roles or generation-control fields before forwarding the full body.","STATIC_CONFIRMED","Malformed or pathological requests can tie up inference or produce provider-specific failures.","Gateway latency and reliability degradation.","jackApi.chat; local clients","LlamaCppProvider/ColibriProvider.chat","See Markdown index","No chat route tests.","Validate role enum and server-owned bounds for model, token count, temperature, and grammar.","OPEN"
"JACK-CX2-008","Dead code / Documentation drift","P2 MEDIUM","CONFIRMED","Jack-AI-Presenter-Platform","README.md","C:\Users\shani\Local-Jack-Program\Jack-AI-Presenter-Platform\README.md","22","31","Included Shape","README and package configuration advertise deleted ChatGPT auth/D1/database files and retain unused Drizzle commands/dependencies.","STATIC_CONFIRMED","Documented commands fail or point nowhere; dead dependencies remain installed.","Setup and maintenance confusion; unnecessary supply-chain surface.","developers/CI","deleted files; db:generate","See Markdown index","No documentation/link/config consistency check.","Rewrite README for Jack, remove dead db command/dependencies, or restore the documented feature intentionally.","OPEN"
"JACK-CX2-009","Product copy / Architecture drift","P2 MEDIUM","CONFIRMED","Jack-AI-Presenter-Platform","app/components/PresentSetup.tsx","C:\Users\shani\Local-Jack-Program\Jack-AI-Presenter-Platform\app\components\PresentSetup.tsx","39","44","OpenAI connection copy","User-facing setup and residual contracts still describe live OpenAI voice after the Realtime path was deleted.","STATIC_CONFIRMED","No OpenAI connection exists to satisfy the guidance.","Users are directed toward a nonexistent capability and obsolete configuration.","Present setup UI/config consumers","none; local mic pipeline is actual authority","See Markdown index","No copy/architecture consistency test.","Replace copy/contracts with local-pipeline terminology and remove obsolete OpenAI environment entries.","OPEN"
"JACK-CX2-010","Broken/dead API contract","P3 LOW","CONFIRMED","Jack-AI-Presenter-Platform","app/lib/jackApi.ts","C:\Users\shani\Local-Jack-Program\Jack-AI-Presenter-Platform\app\lib\jackApi.ts","155","158","jackApi.transcribe","The client still exposes JSON path transcription although the gateway now rejects that mode.","STATIC_CONFIRMED","Any future caller receives 400 despite a typed/documented client method.","Latent integration failure.","No callers found","POST /jack/transcribe","See Markdown index","Gateway tests assert JSON path rejection; no client contract test.","Remove the dead method and stale type/docs, or create a separate trusted internal interface if genuinely required.","OPEN"
"JACK-CX2-011","State / Stale closure","P3 LOW","CONFIRMED","Jack-AI-Presenter-Platform","app/stages/AskJackStage.tsx","C:\Users\shani\Local-Jack-Program\Jack-AI-Presenter-Platform\app\stages\AskJackStage.tsx","51","99","askModeName/controllerRef","Ask mode captures its assistant name once and never updates controller text after persona changes.","STATIC_CONFIRMED","Controller prompts/errors can retain the former persona.","Mixed assistant names in one session.","AskJackStage; JackProvider controller","registerController","See Markdown index","Scope tests do not change persona after mount.","Use a current name ref or re-register/rebuild the controller on persona changes.","OPEN"
"JACK-CX2-012","Documentation drift","P3 LOW","CONFIRMED","Root documentation","WHISPER_APPROVED_BASELINE.md","C:\Users\shani\Local-Jack-Program\WHISPER_APPROVED_BASELINE.md","309","310","Whisper fixed-args description","The baseline says threads use CLI default and omits -t, contradicting its own earlier text and implementation.","STATIC_CONFIRMED","No runtime defect; baseline reproduction instructions are inconsistent.","Misleading audit/reproduction guidance.","operators/auditors","Whisper configuration","See Markdown index","Whisper argument tests cover implementation, not document consistency.","Update the fixed-args section to include -t 4 and remove the default claim.","OPEN"
"JACK-CX2-013","Testing gaps","P2 MEDIUM","CONFIRMED","Jack-Local-AI-Service","package.json","C:\Users\shani\Local-Jack-Program\Jack-Local-AI-Service\package.json","12","12","test script","Gateway suite omits chat, speech, PPTX, health, provider timeouts, CORS, and Vibe lifecycle/resource boundaries.","STATIC_CONFIRMED","Safety and lifecycle regressions can pass the prescribed suite.","Failures can reach local runtime unnoticed.","npm test","six listed test files","See Markdown index","Service test runner was also BLOCKED_BY_ENVIRONMENT before discovery.","Add route and lifecycle integration suites, including concurrency, shutdown, timeout, and CORS cases.","OPEN"
"JACK-CX2-014","Configuration / Portability","P3 LOW","CONFIRMED","Jack-AI-Presenter-Platform","package.json","C:\Users\shani\Local-Jack-Program\Jack-AI-Presenter-Platform\package.json","15","15","lint script","The prescribed lint command requires Bash and cannot execute on this native Windows environment.","RUNTIME_CONFIRMED","Local lint gate is unavailable on the audited host.","Windows contributors cannot run the documented lint command.","npm run lint","scripts/sites-env.sh; eslint","See Markdown index","Observed command failure.","Add a cross-platform lint entry point or explicit supported-shell bootstrap.","OPEN"
